RefluxRatio,DestillateToFlow,FeedStage,XDESTBENZE,XDESTTOL,XDESTXYL,XBOTBENZE,XBOTTOL,XBOTXYL,CONDDUTY,REBDUTY
0.25717,0.48978,5,0.82414,0.15139,0.024471,0.18885,0.44266,0.3685,-1.2572e+05,1.8309e+05
0.62419,0.21138,4,0.86784,0.11894,0.01322,0.4014,0.34853,0.25007,-69288,1.2385e+05
0.95347,0.051799,14,0.93858,0.061406,1.1526e-05,0.47604,0.31303,0.21093,-20035,73659
1.4165,0.53782,15,0.90637,0.093622,3.5312e-06,0.027109,0.54016,0.43273,-2.5894e+05,3.2004e+05
2.5006,0.53509,10,0.93379,0.066189,2.2616e-05,0.00073954,0.5691,0.43016,-3.7123e+05,4.3308e+05
0.62842,0.49055,19,0.80977,0.18968,0.0005481,0.20172,0.40623,0.39205,-1.6188e+05,2.1928e+05
4.3709,0.27489,6,0.99091,0.0090107,8.2196e-05,0.3139,0.41031,0.27579,-2.8915e+05,3.4534e+05
2.8292,0.63751,10,0.78422,0.21567,0.00010239,0.00014805,0.4483,0.55155,-4.9658e+05,5.5741e+05
1.0378,0.93897,3,0.5325,0.3195,0.14801,2.1196e-10,2.0661e-05,0.99998,-4.1819e+05,4.7358e+05
0.53749,0.1492,5,0.86725,0.12207,0.01068,0.4356,0.3312,0.2332,-46249,1.0036e+05
3.1086,0.57224,3,0.87375,0.11877,0.0074864,2.3821e-05,0.54244,0.45753,-4.7282e+05,5.3408e+05
4.6567,0.72409,16,0.68987,0.31013,3.4887e-06,0.0017162,0.27342,0.72486,-8.4425e+05,9.0472e+05
0.32639,0.85323,20,0.56662,0.30528,0.1281,0.11272,0.26931,0.61797,-2.4556e+05,3.0082e+05
4.9221,0.85176,17,0.58693,0.35055,0.062513,0.00049676,0.0095289,0.98997,-1.073e+06,1.1317e+06
2.5718,0.18405,9,0.99501,0.0049831,4.727e-06,0.38834,0.36655,0.24511,-1.2863e+05,1.8362e+05
0.67832,0.040272,20,0.88985,0.11013,1.5412e-05,0.48364,0.30797,0.20839,-13508,67014
1.5135,0.29962,8,0.97407,0.025846,8.2253e-05,0.29719,0.41728,0.28553,-1.4803e+05,2.0446e+05
2.3407,0.64523,2,0.77491,0.19842,0.026672,7.8203e-06,0.48475,0.51524,-4.4366e+05,5.0378e+05
4.2126,0.55785,19,0.86528,0.13472,1.5232e-07,0.039129,0.50853,0.45234,-5.8369e+05,6.4427e+05
1.7459,0.44711,3,0.90942,0.08066,0.0099155,0.16891,0.47737,0.35371,-2.456e+05,3.0388e+05
0.89377,0.65955,8,0.75799,0.23854,0.00347,0.00018819,0.41907,0.58074,-2.5541e+05,3.1602e+05
4.4934,0.12579,21,1,2.0261e-06,8.899e-14,0.42805,0.34317,0.22878,-1.3506e+05,1.8943e+05
2.7045,0.70278,21,0.66408,0.33589,2.668e-05,0.11203,0.21514,0.67284,-5.3837e+05,5.9683e+05
1.4464,0.41623,11,0.98454,0.015453,4.2632e-06,0.15452,0.50288,0.3426,-1.997e+05,2.5874e+05
3.8221,0.81184,4,0.61588,0.36946,0.014657,2.4061e-09,0.0003138,0.99969,-8.1812e+05,8.7851e+05
0.8988,0.36244,3,0.86813,0.11467,0.017205,0.29072,0.40536,0.30392,-1.3912e+05,1.9521e+05
